x,y,z,classification,gpstime,scan_angle,intensity,number_of_returns,return_number,point_source_ID,edge_of_flight_line_flag,direction_of_scan_flag,user_data,red_channel,green_channel,blue_channel
18.0,146.0,39.0,1.0,499073.909363,13.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
19.0,146.0,39.0,1.0,499073.909391,13.0,144.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
20.0,146.0,39.0,1.0,499073.909419,13.0,144.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
21.0,146.0,40.0,1.0,499073.909447,13.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
22.0,146.0,40.0,1.0,499073.909475,13.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
23.0,146.0,40.0,1.0,499073.909503,13.0,144.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
24.0,146.0,40.0,1.0,499073.909531,13.0,123.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
25.0,146.0,41.0,1.0,499073.909559,14.0,165.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
26.0,146.0,41.0,1.0,499073.909587,14.0,179.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
27.0,146.0,41.0,1.0,499073.909615,14.0,172.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
27.0,145.0,41.0,1.0,499073.909629,14.0,137.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
28.0,145.0,42.0,1.0,499073.909643,14.0,130.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
29.0,145.0,42.0,1.0,499073.909671,14.0,144.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
30.0,145.0,42.0,1.0,499073.909699,14.0,144.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
31.0,145.0,43.0,1.0,499073.909727,14.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
32.0,145.0,43.0,1.0,499073.909755,14.0,178.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
33.0,145.0,43.0,1.0,499073.909783,14.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
34.0,145.0,43.0,1.0,499073.909811,15.0,165.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
35.0,145.0,43.0,1.0,499073.909839,15.0,178.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
36.0,145.0,44.0,1.0,499073.909867,15.0,144.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
37.0,145.0,44.0,1.0,499073.909895,15.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
38.0,145.0,44.0,1.0,499073.909909,15.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
43.0,145.0,45.0,1.0,499073.913886,15.0,158.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
42.0,145.0,45.0,1.0,499073.9139,15.0,144.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
41.0,145.0,45.0,1.0,499073.913928,15.0,137.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
40.0,145.0,45.0,1.0,499073.913956,15.0,144.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
39.0,145.0,44.0,1.0,499073.913984,15.0,130.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
32.0,146.0,43.0,1.0,499073.91418,14.0,158.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
31.0,146.0,43.0,1.0,499073.914208,14.0,151.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
30.0,146.0,42.0,1.0,499073.914236,14.0,130.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
29.0,146.0,42.0,1.0,499073.914264,14.0,144.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
28.0,146.0,42.0,1.0,499073.914292,14.0,144.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
13.0,147.0,38.0,1.0,499073.914712,12.0,123.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
12.0,147.0,38.0,1.0,499073.914726,12.0,151.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
11.0,147.0,38.0,1.0,499073.914754,12.0,151.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
10.0,147.0,37.0,1.0,499073.914782,12.0,178.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
9.0,147.0,37.0,1.0,499073.91481,12.0,130.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
8.0,147.0,37.0,1.0,499073.914838,12.0,151.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
7.0,147.0,36.0,1.0,499073.914866,12.0,158.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
0.0,148.0,34.0,1.0,499073.933892,11.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
1.0,148.0,35.0,1.0,499073.93392,11.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
2.0,148.0,35.0,1.0,499073.933948,11.0,137.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
3.0,148.0,35.0,1.0,499073.933962,11.0,137.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
4.0,148.0,35.0,1.0,499073.93399,11.0,137.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
5.0,148.0,35.0,1.0,499073.934018,12.0,179.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
6.0,148.0,36.0,1.0,499073.93406,12.0,130.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
7.0,148.0,36.0,1.0,499073.934074,12.0,193.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
8.0,148.0,36.0,1.0,499073.934102,12.0,137.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
9.0,148.0,37.0,1.0,499073.93413,12.0,165.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
10.0,148.0,37.0,1.0,499073.934172,12.0,144.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
11.0,148.0,37.0,1.0,499073.934186,12.0,137.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
12.0,148.0,38.0,1.0,499073.934214,12.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
13.0,148.0,38.0,1.0,499073.934242,12.0,144.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
14.0,148.0,38.0,1.0,499073.93427,12.0,137.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
15.0,148.0,38.0,1.0,499073.934298,13.0,144.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
16.0,148.0,39.0,1.0,499073.934326,13.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
17.0,148.0,39.0,1.0,499073.934354,13.0,144.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
18.0,148.0,39.0,1.0,499073.934382,13.0,172.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
19.0,148.0,39.0,1.0,499073.93441,13.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
20.0,148.0,39.0,1.0,499073.934438,13.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
21.0,148.0,40.0,1.0,499073.934466,13.0,199.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
21.0,147.0,40.0,1.0,499073.93448,13.0,130.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
22.0,147.0,40.0,1.0,499073.934494,13.0,192.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
23.0,147.0,40.0,1.0,499073.934522,13.0,110.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
24.0,147.0,40.0,1.0,499073.93455,13.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
25.0,147.0,41.0,1.0,499073.934578,14.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
26.0,147.0,42.0,1.0,499073.934606,14.0,171.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
27.0,147.0,41.0,1.0,499073.934634,14.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
28.0,147.0,42.0,1.0,499073.934662,14.0,144.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
29.0,147.0,42.0,1.0,499073.93469,14.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
30.0,147.0,42.0,1.0,499073.934718,14.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
31.0,147.0,43.0,1.0,499073.934746,14.0,123.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
32.0,147.0,44.0,1.0,499073.934774,14.0,150.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
33.0,147.0,43.0,1.0,499073.934802,14.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
34.0,147.0,43.0,1.0,499073.93483,14.0,165.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
35.0,147.0,44.0,1.0,499073.934858,15.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
36.0,147.0,44.0,1.0,499073.934886,15.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
37.0,147.0,44.0,1.0,499073.934914,15.0,165.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
38.0,147.0,44.0,1.0,499073.934942,15.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
39.0,147.0,44.0,1.0,499073.934956,15.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
40.0,147.0,45.0,1.0,499073.934984,15.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
41.0,147.0,45.0,1.0,499073.935012,15.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
42.0,147.0,45.0,1.0,499073.93504,15.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
43.0,147.0,45.0,1.0,499073.935068,15.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
43.0,146.0,45.0,1.0,499073.935082,15.0,165.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
44.0,146.0,45.0,1.0,499073.935096,15.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
45.0,146.0,46.0,1.0,499073.935124,16.0,144.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
46.0,146.0,46.0,1.0,499073.935152,16.0,144.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
47.0,146.0,46.0,1.0,499073.93518,16.0,193.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
48.0,146.0,46.0,1.0,499073.935208,16.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
49.0,146.0,47.0,1.0,499073.935236,16.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
50.0,146.0,47.0,1.0,499073.935264,16.0,144.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
51.0,146.0,47.0,1.0,499073.935292,16.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
52.0,146.0,47.0,1.0,499073.93532,16.0,165.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
53.0,146.0,47.0,1.0,499073.935348,16.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
54.0,146.0,48.0,1.0,499073.935376,16.0,138.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
55.0,146.0,48.0,1.0,499073.935404,17.0,145.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
56.0,146.0,48.0,1.0,499073.935432,17.0,145.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
57.0,146.0,48.0,1.0,499073.93854,17.0,124.0,1.0,1.0,26.0,1.0,0.0,32.0,0.0,0.0,0.0
48.0,147.0,46.0,1.0,499073.938778,16.0,158.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
47.0,147.0,46.0,1.0,499073.938792,16.0,137.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
46.0,147.0,46.0,1.0,499073.93882,16.0,151.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
45.0,147.0,46.0,1.0,499073.938848,16.0,137.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
44.0,147.0,46.0,1.0,499073.938876,16.0,144.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
27.0,148.0,41.0,1.0,499073.939352,14.0,137.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
26.0,148.0,42.0,1.0,499073.93938,14.0,171.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
25.0,148.0,41.0,1.0,499073.939408,14.0,137.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
24.0,148.0,40.0,1.0,499073.939436,13.0,137.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
23.0,148.0,40.0,1.0,499073.939464,13.0,130.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
22.0,148.0,40.0,1.0,499073.939492,13.0,137.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
8.0,149.0,37.0,1.0,499073.939884,12.0,165.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
7.0,149.0,36.0,1.0,499073.939898,12.0,165.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
6.0,149.0,36.0,1.0,499073.939926,12.0,151.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
5.0,149.0,36.0,1.0,499073.939954,12.0,151.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
4.0,149.0,35.0,1.0,499073.939982,11.0,131.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
3.0,149.0,35.0,1.0,499073.94001,11.0,137.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
2.0,149.0,35.0,1.0,499073.940038,11.0,124.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
1.0,149.0,35.0,1.0,499073.940066,11.0,124.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
0.0,149.0,34.0,1.0,499073.940094,11.0,144.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
0.0,150.0,34.0,1.0,499073.95891,11.0,137.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
1.0,150.0,35.0,1.0,499073.958924,11.0,144.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
2.0,150.0,35.0,1.0,499073.958952,11.0,137.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
3.0,150.0,35.0,1.0,499073.95898,11.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
4.0,150.0,35.0,1.0,499073.959008,11.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
5.0,150.0,35.0,1.0,499073.959036,11.0,131.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
6.0,150.0,36.0,1.0,499073.959064,12.0,186.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
7.0,150.0,36.0,1.0,499073.959092,12.0,186.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
8.0,150.0,36.0,1.0,499073.95912,12.0,137.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
9.0,150.0,37.0,1.0,499073.959148,12.0,130.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
10.0,150.0,37.0,1.0,499073.959176,12.0,130.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
11.0,150.0,37.0,1.0,499073.959204,12.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
12.0,150.0,38.0,1.0,499073.959232,12.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
13.0,150.0,38.0,1.0,499073.95926,12.0,130.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
14.0,150.0,38.0,1.0,499073.959288,12.0,192.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
14.0,149.0,38.0,1.0,499073.959302,12.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
15.0,149.0,39.0,1.0,499073.959316,13.0,144.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
16.0,149.0,39.0,1.0,499073.959344,13.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
17.0,149.0,39.0,1.0,499073.959372,13.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
18.0,149.0,39.0,1.0,499073.9594,13.0,130.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
19.0,149.0,39.0,1.0,499073.959428,13.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
20.0,149.0,40.0,1.0,499073.959456,13.0,130.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
21.0,149.0,40.0,1.0,499073.959484,13.0,137.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
22.0,149.0,40.0,1.0,499073.959512,13.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
23.0,149.0,40.0,1.0,499073.95954,13.0,172.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
24.0,149.0,41.0,1.0,499073.959568,13.0,165.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
25.0,149.0,42.0,1.0,499073.959596,14.0,199.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
26.0,149.0,41.0,1.0,499073.959624,14.0,178.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
27.0,149.0,42.0,1.0,499073.959652,14.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
28.0,149.0,42.0,1.0,499073.95968,14.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
29.0,149.0,42.0,1.0,499073.959708,14.0,123.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
30.0,149.0,43.0,1.0,499073.959736,14.0,137.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
31.0,149.0,44.0,1.0,499073.959764,14.0,177.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
32.0,149.0,45.0,1.0,499073.959792,14.0,164.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
33.0,149.0,44.0,1.0,499073.95982,14.0,109.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
34.0,149.0,44.0,1.0,499073.959848,14.0,171.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
35.0,149.0,44.0,1.0,499073.959862,15.0,164.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
36.0,148.0,44.0,1.0,499073.95989,15.0,199.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
37.0,148.0,44.0,1.0,499073.959918,15.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
38.0,148.0,44.0,1.0,499073.959946,15.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
39.0,148.0,44.0,1.0,499073.959974,15.0,165.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
40.0,148.0,45.0,1.0,499073.960002,15.0,165.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
41.0,148.0,45.0,1.0,499073.96003,15.0,165.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
42.0,148.0,45.0,1.0,499073.960058,15.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
43.0,148.0,45.0,1.0,499073.960086,15.0,165.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
44.0,148.0,46.0,1.0,499073.960114,15.0,165.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
45.0,148.0,46.0,1.0,499073.960142,16.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
46.0,148.0,46.0,1.0,499073.96017,16.0,172.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
47.0,148.0,46.0,1.0,499073.960198,16.0,130.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
48.0,148.0,47.0,1.0,499073.960226,16.0,124.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
49.0,148.0,47.0,1.0,499073.960254,16.0,137.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
50.0,148.0,47.0,1.0,499073.960282,16.0,144.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
51.0,148.0,47.0,1.0,499073.96031,16.0,144.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
52.0,148.0,48.0,1.0,499073.960338,16.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
53.0,148.0,48.0,1.0,499073.960352,16.0,165.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
54.0,148.0,48.0,1.0,499073.96038,16.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
55.0,148.0,48.0,1.0,499073.960408,17.0,152.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
56.0,148.0,48.0,1.0,499073.960436,17.0,145.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
57.0,148.0,48.0,1.0,499073.960464,17.0,117.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
42.0,149.0,45.0,1.0,499073.963978,15.0,144.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
41.0,149.0,45.0,1.0,499073.963992,15.0,151.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
40.0,149.0,45.0,1.0,499073.96402,15.0,158.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
